Sony PS1 Playstation - Carnage Heart Carnicería Corazón - Japanese Ver NTSC-J;17,90 EUR;+ 19,90 EUR de envío;desde España;
Carnage Heart PlayStation NTSC-J Japan Import;16,99 EUR;+ 18,50 EUR de envío;desde España;
Zeus Carnage Heart Second PlayStation NTSC-J Japan Import;13,99 EUR;+ 18,50 EUR de envío;desde España;
Carnage Heart - Sony Playstation - PS1 PSX - JAP Japan;9,90 EUR;+ 12,00 EUR de envío;desde Italia;
Carnage Heart - Playstation - Japonés - 4988640100082;6,99 EUR;Envío no especificado;desde España;
Zeus II: Carnage Heart - Playstation - Japonés - 4988640100389;13,89 EUR;Envío no especificado;desde España;
Sony PS1 PLAYSTATION - Carnage Heart Boucher Coeur - Japanese Voir Ntsc-J;17,90 EUR;+ 19,90 EUR de envío;desde España;
Carnage Heart (Sony PlayStation 1, 1996 PS1)-Complete;74,22 EUR;Envío internacional gratis;desde Canadá;
Zeus: Carnage Heart Second - PlayStation PS1 NTSC-J Japan Game;20,23 EUR;+ 14,94 EUR de envío;desde Australia;
Ps Trial Software viento Notam Carnage Heart EZ Artdink Vista previa Playstation;166,35 EUR;+ 17,09 EUR de envío;desde Japón;
Ps Trial Software viento Notam Carnage Heart EZ Artdink Vista previa Playstation;154,04 EUR;+ 25,64 EUR de envío;desde Japón;
