FIFA 98 SONY  PS1 PLAYSTATION 1 PAL ITALIANO PERFETTAMENTE FUNZIONANTE COMPLETO;17,99 EUR;+ 18,00 EUR de envío;Vendidos  30 sep 2021Artículo vendido;desde Italia;
FIFA 98-camino a la Copa del Mundo-PlayStation 1 PS1-Completo con Manual;3,44 EUR;+ 20,19 EUR de envío estimado;Vendidos  26 sep 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98-SONY PLAYSTATION PSONE PS1 Juego-Disco Solo! - En muy buena condición;5,80 EUR;+ 11,66 EUR de envío;Vendidos  10 sep 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 (Negro Etiqueta)/disco solamente/Playstation 1 PS1 PS2;4,74 EUR;+ 16,47 EUR de envío estimado;Vendidos  9 ago 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 PlayStation 1 PS1 Video Juego Gratis P&P;8,16 EUR;+ 16,53 EUR de envío estimado;Vendidos  31 jul 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 PlayStation 1 PS1 Video Juego Gratis P&P;9,33 EUR;+ 16,56 EUR de envío estimado;Vendidos  30 jul 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 (COMPLETO) Sony PlayStation 1, Ps1, Psone Fútbol;12,78 EUR;Envío no especificado;Vendidos  28 jul 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 juego PlayStation PS1 buenas condiciones Manual Inc One PAL;8,16 EUR;Envío no especificado;Vendidos  24 jul 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 (Platinum)/disco solamente/Playstation 1 PS1 PS2;4,87 EUR;+ 16,47 EUR de envío estimado;Vendidos  23 jul 2021Artículo vendido;desde Reino Unido;
FIFA 98 Road to World Cup PS1 (completo) Black Label fútbol Sony PlayStation;5,83 EUR;+ 18,41 EUR de envío estimado;Vendidos  7 jul 2021Artículo vendido;desde Reino Unido;
Camino de la Copa Mundial de FIFA 98 Para Sony Playstation 1 PS1 Completa;9,33 EUR;+ 22,17 EUR de envío;Vendidos  5 jul 2021Artículo vendido;desde Reino Unido;
