NCAA Football 98 (Sony PlayStation 1) PS1 Complete CIB ;8,61 EUR;Free shipping;Sold  Sep 30, 2021Sold Item;from United States;
NCAA Football 98 (Sony PlayStation 1) Complete with Manual, Tested;0,85 EUR;+5,17 EUR shipping;Sold  Sep 23, 2021Sold Item;from United States;
Disc only - NCAA Football 98 (Sony PlayStation 1, 1997);7,31 EUR;+8,16 EUR shipping;Sold  Sep 14, 2021Sold Item;from Canada;
NCAA Football 98 (Sony PlayStation 1,) COMPLETE!;8,61 EUR;Free shipping;Sold  Aug 30, 2021Sold Item;from United States;
NCAA Football 98 - Sony PlayStation 1 - CIB/Tested - FREE SHIPPING;12,06 EUR;Free shipping;Sold  Aug 17, 2021Sold Item;from United States;
NCAA Football 98 (Playstation 1) PS1 Complete CIB ;11,20 EUR;+2,75 EUR shipping;Sold  Aug 9, 2021Sold Item;from United States;
NCAA Football 98 (Sony PlayStation 1, 1997) COMPLETE!;8,03 EUR;Free shipping;Sold  Aug 3, 2021Sold Item;from United States;
Sony Playstation 1 (PS1) EA Sports NCAA Football 98, Complete Tested & Cleaned;5,17 EUR;+3,36 EUR shipping;Sold  Jul 31, 2021Sold Item;from United States;
NCAA Football 98 (Sony PlayStation 1) PS1 Complete CIB ;8,61 EUR;Free shipping;Sold  Jul 23, 2021Sold Item;from United States;
NCAA Football 98 (Sony Playstation 1 PS1) - Disc Only, Tested;5,13 EUR;Free shipping;Sold  Jul 21, 2021Sold Item;from United States;
NCAA Football 98 (Playstation 1) PS1 Complete CIB ;10,08 EUR;+2,75 EUR shipping;Sold  Jul 12, 2021Sold Item;from United States;
